source,en,pl
Load Image,Load Image,Wczytaj Obraz
Fill Holes,Fill Holes,Wypełnij dziury
Save image,Save image,Zapisz obraz
English,English,Angielski
Polish,Polish,Polski
Input Image,Input image,Obraz źródłowy
Step 1 Fill,Binary Image,Obraz binarny
Step 2 Fill,Negation,Negacja
Step 3 Fill,Border clearing,Czyszczenie brzegu
Step 4 Fill,Border clearing,Czyszczenie brzegu
Step 2 Clean,Marker reconstruction,Rekonstrukcja markerów
Step 3 Clean,Border clearing,Czyszczenie brzegu
Step 1 Clean,Binary Image,Obraz binarny
Output,Resulting Image,Obraz wynikowy
Fill holes,Fill holes,Wypełnianie otworów
Clean borders,Clean borders,Czyszczenie brzegu
Morphological transformations,Morphological transformations,Transformacje morfologiczne
Run,Run,Uruchom
Animation speed,Animation speed (ms),Prędkość animacji (ms)
Toggle animation,Toggle animation,Włącz animacje
